No,MMDCE_Name,District_Assembly,Assembly_Type,Region
1,Joseph Akparbo,Asunafo North Municipal,Municipal,AHAFO REGION
2,Benjamin Yerka,Asunafo South District,District,AHAFO REGION
3,Dauda Hafiz Debel,Asutifi North District,District,AHAFO REGION
4,Assabil Dorko Benjamin,Asutifi South District,District,AHAFO REGION
5,Sampson Pius Opoku,Tano North Municipal,Municipal,AHAFO REGION
6,Emmanuel Kwame Frimpong,Tano South Municipal,Municipal,AHAFO REGION
1,Richard Ofori-Agyeman Boadi,Kumasi Metropolitan,Metropolitan,ASHANTI REGION
2,Charles Kofi Ogbeh,Adansi North District,District,ASHANTI REGION
3,Oheneba Kobena Andoh,Adansi South District,District,ASHANTI REGION
4,Pearl Patricia Ankrah,Afigya Kwabre South District,District,ASHANTI REGION
5,Akwesi Adusei,Ahafo Ano North Municipal,Municipal,ASHANTI REGION
6,Abubakar Sedik,Ahafo Ano South West District,District,ASHANTI REGION
7,Emmanuel Obeng Agyemang,Amansie Central District,District,ASHANTI REGION
8,Manu Prince Morris,Amansie West District,District,ASHANTI REGION
9,Ebenezer Ekow Aidoo,Asante Akim Central Municipal,Municipal,ASHANTI REGION
10,Sarah Amoakoaa,Asante Akim North District,District,ASHANTI REGION
11,Maame Sarfoah Appiah,Asante Akim South Municipal,Municipal,ASHANTI REGION
12,Ben Abdallah Alhassan,Asokore Mampong Municipal,Municipal,ASHANTI REGION
13,Grace Agyemang Asamoah,Atwima Kwanwoma District,District,ASHANTI REGION
14,Isshaq Ibrahim,Atwima Mponua District,District,ASHANTI REGION
15,Wisdom Osei Boamah,Atwima Nwabiagya Municipal,Municipal,ASHANTI REGION
16,Salifu Issaka,Bekwai Municipal,Municipal,ASHANTI REGION
17,Charles Appiah Kannin,Bosome Freho District,District,ASHANTI REGION
18,Abdullah Hamidu,Bosomtwe District,District,ASHANTI REGION
19,Jerryne Asante,Ejisu Municipal,Municipal,ASHANTI REGION
20,Rafiu Adam Seidu,Ejura Sekyedumase Municipal,Municipal,ASHANTI REGION
21,Joseph Amankwa,Kwabre East Municipal,Municipal,ASHANTI REGION
22,Yakubu Yussif,Mampong Municipal,Municipal,ASHANTI REGION
23,Faustilove Appiah Kannin,Obuasi Municipal,Municipal,ASHANTI REGION
24,Frank Owusu Amoah,Offinso Municipal,Municipal,ASHANTI REGION
25,Caesar Acheampong Ofosu,Offinso North District,District,ASHANTI REGION
26,Abubakar Issaka,Sekyere Afram Plains District,District,ASHANTI REGION
27,Samuel Somuah,Sekyere Central District,District,ASHANTI REGION
28,Ibrahim Adams,Sekyere East District,District,ASHANTI REGION
29,Kwesi Amankwaa,Sekyere Kumawu District,District,ASHANTI REGION
30,Evans Amoah Twumasi,Sekyere South Municipal,Municipal,ASHANTI REGION
31,Anwel Sadat Ahmed,Oforikrom Municipal,Municipal,ASHANTI REGION
32,Eric Asibey,Kwadaso Municipal,Municipal,ASHANTI REGION
33,Abubakar Sidiq,Old Tafo Municipal,Municipal,ASHANTI REGION
34,Amoah Kemel,Asokwa Municipal,Municipal,ASHANTI REGION
35,Owusu Ansah Frank,Suame Municipal,Municipal,ASHANTI REGION
36,Eunice Ohenewaa Ansu,Juaben Municipal,Municipal,ASHANTI REGION
37,Ibrahim Yamba Nelson Issaka,Ahafo Ano South East District,District,ASHANTI REGION
38,Benjamin Marfo,Amansie South District,District,ASHANTI REGION
